Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message
24.864905,1398.1935,,,,0.679253293,0,0.061668699,0,0,0,0,
25.010085,1383.988,,,,0.658630936,0,0.062303493,0,0,0,0,
25.20492,1370.079,,,,0.627712067,0,0.064979213,0,0,0,0,
25.275705,1355.761,,,,0.60318832,0,0.064022428,0,0,0,0,
25.371645,1345.829,,,,0.60318832,0,0.059892219,0,0,0,0,
25.49374,1335.473,,,,0.576646773,0,0.061376904,0,0,0,0,
25.561785,1327.4655,,,,0.576646773,0,0.061186709,0,0,0,0,
25.673005,1319.6975,,,,0.550528131,0,0.061100716,0,0,0,0,
25.77617,1305.731,,,,0.521552592,0,0.061961265,0,0,0,0,
25.89052,1298.5905,,,,0.491407845,0,0.065187473,0,0,0,0,
25.94629,1287.8995,,,,0.491407845,0,0.062325724,0,0,0,0,
26.013975,1281.2095,,,,0.491407845,0,0.06255137,0,0,0,0,
26.121355,1273.306,,,,0.459190798,0,0.063027371,0,0,0,0,
26.23024,1260.3655,,,,0.432881392,0,0.058244624,0,0,0,0,
26.292405,1254.3865,,,,0.432881392,0,0.059525509,0,0,0,0,
26.421435,1242.1375,,,,0.401319004,0,0.064308202,0,0,0,0,
26.52177,1232.9805,,,,0.372531554,0,0.066291718,0,0,0,0,
26.62713,1220.5395,,,,0.343713126,0,0.065200196,0,0,0,0,
26.78074,1214.384,,,,0.343713126,0,0.065601821,0,0,0,0,
26.88743,1198.7645,,,,0.313703604,0,0.061011844,0,0,0,0,
27.00349,1181.813,,,,0.29325049,0,0.062023759,0,0,0,0,
27.1549,1175.081,,,,0.265598947,0,0.059972531,0,0,0,0,
27.224795,1161.3285,,,,0.247894692,0,0.063114589,0,0,0,0,
27.325775,1151.2425,,,,0.247894692,0,0.061867888,0,0,0,0,
27.403725,1143.642,,,,0.217268124,0,0.06272354,0,0,0,0,
27.501265,1132.5225,,,,0.217268124,0,0.062784394,0,0,0,0,
27.573285,1126.6115,,,,0.194007381,0,0.063247115,0,0,0,0,
27.65186,1117.058,,,,0.194007381,0,0.060737566,0,0,0,0,
