Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
3.8700000000004655,1223,,,,,0,0.059267937047175145,0,0,0,,,
3.9109050000002608,1223,,,,0.03099288905953878,0,0.059510855341950324,0,0,0,0,,
3.9385200000000187,1223,,,,,0,0.05867986768750195,0,0,0,,,
3.9738700000001117,1223,,,,,0,0.057763311103463416,0,0,0,,,
4.0198400000003165,1217,,,,,0,0.06017315786104238,0,0,0,,,
4.069719999999739,1217,,,,0.06192945277885832,0,0.06045951249273829,0,0,0,0,,
4.109525000000373,1217,,,,,0,0.060046517839768325,0,0,0,,,
4.156194999999832,1217,,,,,0,0.05705365109907673,0,0,0,,,
4.2034700000002045,1217,,,,,0,0.05858881904471919,0,0,0,,,
4.3023050000001675,1217,,,,0.0970560594379098,0,0.06153570125920693,0,0,0,0,,
4.343080000000074,1217,,,,,0,0.060584204830147134,0,0,0,,,
4.37192500000028,1217,,,,0.10532040905927562,0,0.06109827210073971,0,0,0,0,,
4.411080000000075,1217,,,,,0,0.06180278063304915,0,0,0,,,
4.450340000000317,1217,,,,,0,0.062271813834886613,0,0,0,,,
4.487165000000037,1217,,,,,0,0.06146424789959347,0,0,0,,,
4.529395000000019,1217,,,,0.1160382021026,0,0.06036441362530644,0,0,0,0,,
4.5805500000002795,1217,,,,,0,0.06157223802797758,0,0,0,,,
4.633200000000186,1217,,,,,0,0.062202964390964656,0,0,0,,,
4.671040000000037,1217,,,,0.12095624771775246,0,0.062456753831260266,0,0,0,0,,
4.720895000000485,1217,,,,,0,0.06283259407943811,0,0,0,,,
4.757460000000428,1217,,,,,0,0.06133816970903448,0,0,0,,,
4.7951550000002605,1217,,,,,0,0.06436862304934092,0,0,0,,,
4.8264900000002235,1217,,,,0.12446950032074458,0,0.06555349097012741,0,0,0,0,,
4.871645000000019,1217,,,,,0,0.06686692820199644,0,0,0,,,
